order_name;status;contragent;dogovor;manager;order_number;order_date;scheme_date;logistic_date;create_date;payment_amount;payment_current;product_name;qty
4376 - КНС 3шт., АСТРА, Усреднитель корпус 10-14 рабочих недель, насосы 10-14 рабочих недель, доставка;Отгружен ч;АГРОСТРОЙПОДРЯД ООО;Договор №406/24;Цопанов Заур Валерьевич;ПКНФ-000134;23.09.2024;;23.09.2024;23.09.2024;8996330;8524650;Канализационная насосная станция в корпусе, КСС-КНС-2 1200-2550, на базе насосов CNP   40WQ12-15-1.5;2
4376 - КНС 3шт., АСТРА, Усреднитель корпус 10-14 рабочих недель, насосы 10-14 рабочих недель, доставка;Отгружен ч;АГРОСТРОЙПОДРЯД ООО;Договор №406/24;Цопанов Заур Валерьевич;ПКНФ-000134;23.09.2024;;23.09.2024;23.09.2024;8996330;8524650;Установка очистки бытовых сточных вод серии ""Астра-Триумф-300-Миди"" изделие;1
4376 - КНС 3шт., АСТРА, Усреднитель корпус 10-14 рабочих недель, насосы 10-14 рабочих недель, доставка;Отгружен ч;АГРОСТРОЙПОДРЯД ООО;Договор №406/24;Цопанов Заур Валерьевич;ПКНФ-000134;23.09.2024;;23.09.2024;23.09.2024;8996330;8524650;Усреднитель «UNI–STOK – 17/2,1/0,35/1» – 0,35 м подача после отдельно стоящей КНС;2
3101 - КНС 2шт., ЖУ - 6-8 рабочих недель (насосное оборудование 10-12 рабочих недель), доставка;Оформление;АГРОСНАБ-ЮГ ООО;Договор №187/22;Сидоренко Александр;ПКНФ-000148;14.06.2024;;09.08.2024;14.06.2024;1673000;501900;Канализационная насосная станция в корпусе, КСС-КНС-1600-5000, на базе насосов CNP 50WQ10-7-0.55(I) ;1
3101 - КНС 2шт., ЖУ - 6-8 рабочих недель (насосное оборудование 10-12 рабочих недель), доставка;Оформление;АГРОСНАБ-ЮГ ООО;Договор №187/22;Сидоренко Александр;ПКНФ-000148;14.06.2024;;09.08.2024;14.06.2024;1673000;501900;Жироуловитель КСС-ЖУВ-4,5 в корпусе, произведенном из армированного стеклопластика, производительнос;1
3101 - КНС 2шт., ЖУ - 6-8 рабочих недель (насосное оборудование 10-12 рабочих недель), доставка;Оформление;АГРОСНАБ-ЮГ ООО;Договор №187/22;Сидоренко Александр;ПКНФ-000148;14.06.2024;;09.08.2024;14.06.2024;1673000;501900;Канализационная насосная станция в корпусе, КСС-КНС-1600-4950, на базе насосов CNP 50WQ10-7-0.55(I) ;1
4803 - ЕНП, 7 нед, доставка, пнр и шм ( Байкал);Отгружен ч;ЯНТАРЬ ООО;Договор №416/24;Менеджер;ПКНФ-00158 ;28.06.2024;;28.06.2024;28.06.2024;5340000;5340000;Емкость накопительная питьевая, произведенная из армированного стеклопластика методом машинной намот;2
4983.1 - БТП услуга (КСС)  - СЗ «Гарантия»   Аванс в размере 70% к Договору субподряда № 11.06.24-Ш от «11» июня 2024 г.;В работе;ГАРАНТИЯ ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК;Договор 11.06.24-Ш;Сидоренко Александр;ПКНФ-00169;25.06.2024;;25.06.2024;25.06.2024;7745556;7745556;Аванс в размере 70% по Договору субподряда № 11.06.24-Ш от «11» июня 2024 г.;1
 4983.2 - БТП услуга (КСС)  - СЗ «Гарантия»   Детский сад Договор 25.06.2024-ДОУ от 25.06.2024 (САДИК 1 на 575 мест);Отгружен ч;ГАРАНТИЯ ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК;Договором субподряда № 25.06.2024-ДОУ;Сидоренко Александр;ПКНФ-00173 ;27.06.2024;;27.06.2024;27.06.2024;4033855;4033855;Аванс в размере 70% по Договору субподряда № 25.06.2024-ДОУ от 25.06.2024;1
4803.2 - ЕН 2 шт. 8 нед.;к отгрузке;ЯНТАРЬ ООО;Договор №416/24;Гончаров Роман Васильевич;ПКНФ-00223 ;02.08.2024;;02.08.2024;02.08.2024;4310000;4310000;Емкость накопительная КСС-ЕН-100, D=3400 мм, L=12800 мм, объем 100 м3, для глубины заложения подводя;2
4803.2 - ЕН 2 шт. 8 нед.;к отгрузке;ЯНТАРЬ ООО;Договор №416/24;Гончаров Роман Васильевич;ПКНФ-00223 ;02.08.2024;;02.08.2024;02.08.2024;4310000;4310000;Пуско-наладочные работы, шеф монтаж;1
4519 - доплата ВНС, ЕН, корпус 8-10нед, насосы 13-15 нед, самовывоз;Оформление;ВИОЯР ООО;Договор поставки 361/24;Сидоренко Александр;ПКНФ-00230 ;24.07.2024;;24.07.2024;24.07.2024;420795;420795;Доплата  за оборудование  по дополнительному соглашению №2 к договору поставки №361/24 от «29» февра;1
4856 - ЕН 2 шт, ВНС., 10-12 нед, доставка, шеф.монтаж и пусконаладка;Отгружен ч;СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КУРОРТНЫЙ ООО;Договор №454/24;Собиев Олег;ПКНФ-00257;15.08.2024;;15.08.2024;15.08.2024;6018350;6018350;Емкость накопительная, произведенная из армированного стеклопластика методом машинной намотки КСС-ЕН;2
4856 - ЕН 2 шт, ВНС., 10-12 нед, доставка, шеф.монтаж и пусконаладка;Отгружен ч;СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КУРОРТНЫЙ ООО;Договор №454/24;Собиев Олег;ПКНФ-00257;15.08.2024;;15.08.2024;15.08.2024;6018350;6018350;Установка повышения давления на базе насосов CDM 65-1+СХ+ГА8;1
4870 - доплата КНС, ЕН 3 шт. 10-14 рабочих недель, доставка Анапа;Оформление;АНАПАСТРОЙГАРАНТ ООО;Договор поставки №422/24;Людвик Мирзоян;ПКНФ-00294;23.09.2024;;23.09.2024;23.09.2024;1770000;1770000;Доплата за оборудование по договору поставки № 422/24 от «27» июня 2024г ;1
3697 - доплата  КНС - 6 шт, срок 6-8 раб.нед. насоное обор. 11-13. Доставка включена Рязанская область;Оформление;СТРОЙСЕРВИС-ЦЕНТР ООО;Договор №292/23;Сидоренко Александр;ПКНФ-00309;01.10.2024;;31.12.2024;01.10.2024;596000;596000;Доплата по доп. соглашению №1 к договору поставки №292/23 от 26.06.2023;1
5423.2 - ЕН, 4-6 нед.  ШМ и ПНР. Доставка.;Отгружен ч;ЯНТАРЬ ООО;Договор №416/24;Гончаров Роман Васильевич;ПКНФ-00312;02.10.2024;;02.10.2024;02.10.2024;2151100;2150900;Емкость накопительная КСС-ЕН-2-100, D=3200 мм, L=12400 мм, объем 100 м3;1
5423.2 - ЕН, 4-6 нед.  ШМ и ПНР. Доставка.;Отгружен ч;ЯНТАРЬ ООО;Договор №416/24;Гончаров Роман Васильевич;ПКНФ-00312;02.10.2024;;02.10.2024;02.10.2024;2151100;2150900;Пуско-наладочные работы, шеф монтаж;1
3714 - переделка;к отгрузке;КСС РОСТОВ ООО;Основной договор 1/18;Лесниченко Артем Евгеньевич;ПКНФ-00328 ;18.10.2024;;18.10.2024;18.10.2024;567000;567000;Комплект трубопроводов и запорно-регулирующей арматуры;1
3519 Доплата КНС с работами, корпус - 6-8 раб.нед. насосное обор. 11-13. Доставка вкл. ( НЕ ОТГРУЖЕН МОНТАЖ);Оформление;ДОГМА-ПАРК 21 ООО СПЕЦИАЛИЗИРОВАННЫЙ  ЗАСТРОЙЩИК;Договор №276/23;Сидоренко Александр;ПКНФ-00329 ;21.10.2024;;31.12.2024;21.10.2024;116250;116250;Доплата по доп. соглашению №1 к договору поставки № 276/23 от «22» мая 2023г.;1
5171 - ЕНП,ВНС,ПНС, Блок-контейнер, ;к отгрузке;ГИДРОСИСТЕМА ООО;Договор поставки №520/24;Сидоренко Александр;ПКНФ-00343;19.11.2024;;19.11.2024;19.11.2024;19248000;13110000;Насосная станция пожаротушения  на базе насосов 3CNP  NIS200-150-400G/75 (75кВт) +АВР+ЖН CDM3-10;1
5171 - ЕНП,ВНС,ПНС, Блок-контейнер, ;к отгрузке;ГИДРОСИСТЕМА ООО;Договор поставки №520/24;Сидоренко Александр;ПКНФ-00343;19.11.2024;;19.11.2024;19.11.2024;19248000;13110000;Резервуар  подземный для питьевой воды , усиленный ребрами Полиэтилен/Металл  КСС-ЕНП-75, D=3200 мм,;2
5171 - ЕНП,ВНС,ПНС, Блок-контейнер, ;к отгрузке;ГИДРОСИСТЕМА ООО;Договор поставки №520/24;Сидоренко Александр;ПКНФ-00343;19.11.2024;;19.11.2024;19.11.2024;19248000;13110000;Насосная станция повышения давления в корпусе КСС-BНС-4200-2500 ;1
5171 - ЕНП,ВНС,ПНС, Блок-контейнер, ;к отгрузке;ГИДРОСИСТЕМА ООО;Договор поставки №520/24;Сидоренко Александр;ПКНФ-00343;19.11.2024;;19.11.2024;19.11.2024;19248000;13110000;Электролизная установки ЭльСоль ""ЭУ-К1Н11.25"";1
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Тройник с уменьшенным боковым и торцевым проходами 20-16-16 PX (10) ;29
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Монтажная гильза 16 PX (100) ;338
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Тройник равнопроходный 16-16-16 PLATINUM RX;40
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;TR-N Клапан терморегулирующий Ду15 Прямой;1
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;LV Клапан запорный Ду15, прямой СКЛАД;1
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;APT-R клапан-регулятор перепада давлений DN 15, Kvs 1,9 СКЛАД;11
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;APT-R клапан-регулятор перепада давлений DN 25, Kvs 5,3 СКЛАД;1
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;BVR-R Кран шаровой РИДАН ГОСТ Р 59553 PN40 DN15 с внутренней резьбой Т от -20С ...+120С материал к;42
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;BVR-R Кран шаровой РИДАН ГОСТ Р 59553 PN40 DN20 с внутренней резьбой Т от -20С ...+120С материал к;14
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;BVR-R Кран шаровой РИДАН ГОСТ Р 59553 PN40 DN25 с внутренней резьбой Т от -20С ...+120С материал к;10
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;BVR-R Кран шаровой РИДАН ГОСТ Р 59553 PN40 DN32 с внутренней резьбой Т от -20С ...+120С материал к;6
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;MVT-R DN15LF Ручной балансировочный клапан с дренажем Kvs 2,54 СКЛАД;10
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;MVT-R DN15 Ручной балансировочный клапан с дренажем Kvs 4,81;2
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;MVT-R DN20 Ручной балансировочный клапан с дренажем Kvs 5,19;1
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Тройник с уменьшенным торцевым проходом 25-25-16 PX (10) ;3
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Airvent-R Воздухоотводчик PN10 DN15 Т от 0…+110С материал корпуса латунь CW617N;11
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Американка прямая 1/2"" Vtr.341;74
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Американка прямая 1 1/4"" Vtr.341;12
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Отоп.труба РЕХАУ BLACK 16х2,2 мм, бухта 200 м (2600)  (ст. арт. 11331691200);1200
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Отоп.труба РЕХАУ BLACK 20х2,8 мм, бухта 180 м (1440)  (ст. арт. 11331791180);720
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Отоп.труба РЕХАУ BLACK 25х3,5 мм, бухта 100 м (800)  (ст. арт. 11331891100);400
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Монтажная гильза 20 PX (100) ;250
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Тройник с уменьшенным боковым проходом 20-16-20 PX (10) ;94
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Переходник с наружной резьбой 16-R 1/2 RX+ (10)  (ст. арт. 13660491001);32
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Переходник с наружной резьбой 20-R 1/2 RX+ (10)  (ст. арт. 13660521001);20
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Переходник с наружной резьбой 25-R 3/4 RX+ (10)  (ст. арт. 13660571001);10
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Тройник с уменьшенным боковым проходом 25-16-25 PLATINUM RX;18
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Монтажная гильза 25 PX (100) ;65
для ксс блок А;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00350 ;15.11.2024;;15.11.2024;15.11.2024;888342.99;888342.99;Тройник с уменьшенным боковым и торцевым проходами 25-16-20 PX (10) ;13
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Тройник с уменьшенным боковым и торцевым проходами 25-16-20 PX (10) ;15
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Отоп.труба РЕХАУ BLACK 16х2,2 мм, бухта 200 м (2600)  (ст. арт. 11331691200);800
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Монтажная гильза 16 PX (100) ;341
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Монтажная гильза 20 PX (100) ;84
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Монтажная гильза 25 PX (100) ;100
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Тройник с уменьшенным боковым и торцевым проходами 20-16-16 PX (10) ;23
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Отоп.труба РЕХАУ BLACK 20х2,8 мм, бухта 180 м (1440)  (ст. арт. 11331791180);540
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Отоп.труба РЕХАУ BLACK 25х3,5 мм, бухта 100 м (800)  (ст. арт. 11331891100);700
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Унив.труба РЕХАУ FLEX 32x4,4, бухта 50м (ст. арт. 113040010;200
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Монтажная гильза 32 PX (50) ;36
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Двойной крюк с дюбелем для 2-х труб (100) ;824
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Тройник с уменьшенным боковым проходом 25-16-25 PX (10) ;38
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Тройник с уменьшенным боковым проходом 20-16-20 PX (10) ;23
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Тройник равнопроходный 16-16-16 PX (10) ;66
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Переходник с наружной резьбой 25-R 3/4 RX+ (10)  (ст. арт. 13660571001);8
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Переходник с наружной резьбой 20-R 1/2 MX (10) ;18
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Переходник с наружной резьбой 32-R 1 MX (10) ;8
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Муфта соединительная переходная 25-16 PX (10) ;3
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Тройник с уменьшенным боковым проходом 32-16-32 PX (3) ;12
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Тройник с уменьшенным боковым проходом 32-16-32 PX (3) ;6
Блок Б для КСС //// 803 565,31;Отгружен ч;ИНТЭК ООО;Договор 501/24;Сидоренко Александр;ПКНФ-00351 ;15.11.2024;;15.11.2024;15.11.2024;673215.17;673215.17;Муфта соединительная переходная 32-25 PLATINUM RX;6
5415 - ЕН и ВНС и ПНС, 9- 13 раб недель, Договор 552/24 ;Отгружен ч;МАРС-Р ЗАО;Договор поставки №522/24;Собиев Олег;ПКНФ-00389;13.12.2024;09.01.2025;13.12.2024;13.12.2024;24883300;22349970;Емкость накопительная питьевая, КСС-ЕНП-1 43,5, D=3000 мм, L=6100 мм, объем 43,5 м3,;3
5415 - ЕН и ВНС и ПНС, 9- 13 раб недель, Договор 552/24 ;Отгружен ч;МАРС-Р ЗАО;Договор поставки №522/24;Собиев Олег;ПКНФ-00389;13.12.2024;09.01.2025;13.12.2024;13.12.2024;24883300;22349970;Емкость накопительная из стеклопластика КСС-ЕН-2 20, D=2000 мм, L=6600 мм, объем 20 м3;1
5415 - ЕН и ВНС и ПНС, 9- 13 раб недель, Договор 552/24 ;Отгружен ч;МАРС-Р ЗАО;Договор поставки №522/24;Собиев Олег;ПКНФ-00389;13.12.2024;09.01.2025;13.12.2024;13.12.2024;24883300;22349970;Насосная станция повышения давления в корпусе базе установки повышения давления КСС-МЧ-2 CDM5-4+СХ+Г;1
5415 - ЕН и ВНС и ПНС, 9- 13 раб недель, Договор 552/24 ;Отгружен ч;МАРС-Р ЗАО;Договор поставки №522/24;Собиев Олег;ПКНФ-00389;13.12.2024;09.01.2025;13.12.2024;13.12.2024;24883300;22349970;Насосная станция пожаротушения в корпусе установки пожаротушения КСС-П-2 CDM20-2+АВР+2ЭЗ;1
